model,rmse,mae,r2,bin,n_rows
C5_FULL,0.9034798146237616,0.5348189473152161,0.43272894620895386,low,1014
C5_FULL,0.690548596535902,0.49786919355392456,0.6547132134437561,medium,1078
C5_FULL,0.6227562923304929,0.45124682784080505,0.6573761701583862,high,1004
C5_GEO,0.5748776917366568,0.3963257372379303,0.7703297734260559,low,1014
C5_GEO,0.5261867121790145,0.36113011837005615,0.7995198965072632,medium,1078
C5_GEO,0.47167902407392204,0.344970703125,0.8034493923187256,high,1004
C5_SOCIO,0.8996391221899552,0.5054497122764587,0.4375416040420532,low,1014
C5_SOCIO,0.6661974974623911,0.47955912351608276,0.678635835647583,medium,1078
C5_SOCIO,0.6227204235898829,0.44446274638175964,0.6574156880378723,high,1004
C5_LOWRANK,1.0884524526343873,0.5284342765808105,0.17667239904403687,low,1014
C5_LOWRANK,0.6548064340068517,0.4838338792324066,0.689531683921814,medium,1078
C5_LOWRANK,0.622149068736632,0.45934930443763733,0.6580440998077393,high,1004
C7_Learned,0.6155065267590231,0.410921186208725,0.7367192506790161,low,1014
C7_Learned,0.5360888687218428,0.37145063281059265,0.7919033765792847,medium,1078
C7_Learned,0.48419536828319687,0.3560916781425476,0.7928797602653503,high,1004
C8_Routed,0.5681199555965192,0.40054845809936523,0.775697648525238,low,1014
C8_Routed,0.5251388797537487,0.3659866154193878,0.8003175854682922,medium,1078
C8_Routed,0.4773858415491776,0.35481828451156616,0.7986645102500916,high,1004
C9_RoutedGate,0.8543883167894994,0.38762015104293823,0.49270063638687134,low,1014
C9_RoutedGate,0.48820456856379724,0.3372730314731598,0.8274181485176086,medium,1078
C9_RoutedGate,0.46342984111525276,0.33788004517555237,0.8102642297744751,high,1004
