model,bin,accuracy,n
B1_HGBR,low,0.9600798403193613,501
B1_HGBR,medium,0.9490835030549898,491
B1_HGBR,high,0.9645669291338582,508
G2_GoRA_v1,low,0.9401197604790419,501
G2_GoRA_v1,medium,0.9205702647657841,491
G2_GoRA_v1,high,0.9291338582677166,508
G7_RichCtx,low,0.9301397205588823,501
G7_RichCtx,medium,0.9124236252545825,491
G7_RichCtx,high,0.937007874015748,508
G8_LabelCtx,low,0.93812375249501,501
G8_LabelCtx,medium,0.9124236252545825,491
G8_LabelCtx,high,0.9409448818897638,508
G9_Teacher,low,0.9401197604790419,501
G9_Teacher,medium,0.9266802443991853,491
G9_Teacher,high,0.937007874015748,508
G10_Full,low,0.9421157684630739,501
G10_Full,medium,0.924643584521385,491
G10_Full,high,0.9468503937007874,508
