model,accuracy,macro_f1,log_loss,bin,n_rows
M0_Majority,0.31237721021611004,0.04760479041916167,,low,509
M0_Majority,0.01609657947686117,0.0031683168316831685,,medium,497
M0_Majority,0.004048582995951417,0.0008064516129032258,,high,494
M1_MLP,0.9508840864440079,0.9299744113339384,,low,509
M1_MLP,0.9396378269617707,0.9323289993696345,,medium,497
M1_MLP,0.9473684210526315,0.9154398248379663,,high,494
M2_HGBR,0.9548133595284872,0.9272264615490057,,low,509
M2_HGBR,0.9537223340040242,0.949663384304747,,medium,497
M2_HGBR,0.9574898785425101,0.9273674828708345,,high,494
M3_XGBoost,0.9390962671905697,0.9115358596205233,,low,509
M3_XGBoost,0.9496981891348089,0.9402630834787005,,medium,497
M3_XGBoost,0.9392712550607287,0.907363601438346,,high,494
M5_FULL,0.931237721021611,0.898188601323497,,low,509
M5_FULL,0.9416498993963782,0.931830733263399,,medium,497
M5_FULL,0.937246963562753,0.8824509098907161,,high,494
M6_BLOCK,0.9410609037328095,0.9086451074441836,,low,509
M6_BLOCK,0.9356136820925554,0.92512206511829,,medium,497
M6_BLOCK,0.937246963562753,0.90707002766323,,high,494
M7_PCA,0.9390962671905697,0.9055101445350834,,low,509
M7_PCA,0.9436619718309859,0.940479516093595,,medium,497
M7_PCA,0.9534412955465587,0.922676330266218,,high,494
M8_Uniform,0.9489194499017681,0.925863571462634,,low,509
M8_Uniform,0.9537223340040242,0.9407064968899356,,medium,497
M8_Uniform,0.9595141700404858,0.9281647506707879,,high,494
M9_Combiner,0.9489194499017681,0.925863571462634,,low,509
M9_Combiner,0.9537223340040242,0.9407064968899356,,medium,497
M9_Combiner,0.9595141700404858,0.9281647506707879,,high,494
M10_KappaFeature,0.9292730844793713,0.8852584456961748,,low,509
M10_KappaFeature,0.9416498993963782,0.9287550206240136,,medium,497
M10_KappaFeature,0.9453441295546559,0.8992780966322276,,high,494
M11_ObsCombiner,0.9449901768172888,0.9213573915846155,,low,509
M11_ObsCombiner,0.9537223340040242,0.9407064968899356,,medium,497
M11_ObsCombiner,0.9574898785425101,0.9263659398263402,,high,494
