model,val_rmse,test_rmse,val_mae,test_mae,notes
P0_FULL,0.4111109204478008,0.3891207532666274,0.24573558568954468,0.2416056990623474,single-view TabPFN expert
P0_GEO,0.5422451219528367,0.520823856903332,0.3510758876800537,0.3475954830646515,single-view TabPFN expert
P0_SOCIO,0.7120506459102162,0.6771373042579688,0.4968239367008209,0.47705575823783875,single-view TabPFN expert
P0_LOWRANK,0.5923854557409783,0.5621682884407042,0.391033411026001,0.3765389025211334,single-view TabPFN expert
P0_uniform,0.46858384048449847,0.435869328490659,0.3038202226161957,0.29091840982437134,uniform mean over four TabPFN view experts
P0_sigma2,0.469412303971105,0.43614643039788537,0.3027329444885254,0.2893196642398834,inverse-sigma2 routing — no val labels used
P0_gora,0.5675610313283105,0.5190367388777555,0.34697073698043823,0.3262271285057068,"GoRA analytical routing: softmax(-sigma2*tau), tau=1/(mean_J+eps) — zero params, no val labels"
P0_router,0.3986082459150004,0.3775111599087325,0.24221736192703247,0.2378062903881073,softmax router on sigma2_v + J_flat + mean_J (best_epoch=399)
P0_crossfit,0.4001366344680284,0.37760674925173093,0.24391205608844757,0.2380642145872116,5-fold OOF router — val RMSE is clean (unbiased); test uses router trained on all val (n_splits=5)
